,SMR_DO_BN,SMR_BN,SMR_DO,SMR_NONE,MLP_DO_BN,MLP_BN,MLP_DO,MLP_NONE,CNN_DO_BN,CNN_BN,CNN_DO,CNN_NONE
0,1.3303,1.3589,1.6734,1.6931,0.9057,0.7575,1.2736,1.0727,0.4957,0.2224,0.0759,0.0205
1,0.5612,0.5389,0.8149,0.7457,0.6352,0.3764,0.7356,0.7566,0.0957,0.048,0.0712,0.0106
2,0.4513,0.4153,0.6886,0.6219,0.4536,0.2856,0.4756,0.5458,0.0717,0.0219,0.0657,0.0115
3,0.4127,0.3713,0.6517,0.5856,0.3276,0.2034,0.2857,0.3119,0.0667,0.0166,0.0691,0.0153
4,0.3811,0.3527,0.6073,0.5536,0.31,0.1827,0.2736,0.2635,0.0504,0.0623,0.0643,0.0103
5,0.372,0.3377,0.5833,0.5371,0.2634,0.1502,0.2394,0.2282,0,0,0,0
6,0.3736,0.3209,0.5587,0.515,0.2537,0.0992,0.1009,0.1901,0,0,0,0
7,0.3545,0.3108,0.546,0.5089,0.24,0.0817,0.0992,0.1112,0,0,0,0
8,0.3544,0.3026,0.561,0.5257,0.2034,0.0801,0.0907,0.0897,0,0,0,0
9,0.3411,0.3018,0.5355,0.4967,0.0991,0.0794,0.0901,0.0827,0,0,0,0
