,Loss,Accuracy
Testing,0.08035260438919067,0.98
Training_epoch0,2.281386375427246,0.12
Training_epoch1,0.04796874523162842,1.0
Training_epoch2,0.018470659852027893,1.0
Training_epoch3,0.01712520606815815,0.99
Training_epoch4,0.10917691141366959,0.97
Training_epoch5,0.020645374432206154,1.0
Training_epoch6,0.06666833162307739,0.98
Training_epoch7,0.04440223053097725,0.98
Training_epoch8,0.013471340760588646,0.99
Training_epoch9,0.0033052321523427963,1.0
Training_epoch10,9.425687312614173e-05,1.0
